StartTime,EndTime,HeatDemand,ElectricityPrice,Boilers,NetProductionCost
08/02/2023 00.00.00,08/02/2023 01.00.00,"6,62","1190,94",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1615,538"
08/02/2023 01.00.00,08/02/2023 02.00.00,"6,85","1154,55",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1517,285"
08/02/2023 02.00.00,08/02/2023 03.00.00,"6,98","1116,22",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1413,794"
08/02/2023 03.00.00,08/02/2023 04.00.00,"7,04","1101,12",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1373,024"
08/02/2023 04.00.00,08/02/2023 05.00.00,"7,72","1086,24",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1332,848"
08/02/2023 05.00.00,08/02/2023 06.00.00,"7,85","1109,53",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1395,731"
08/02/2023 06.00.00,08/02/2023 07.00.00,"8,15","1307,4",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1929,98"
08/02/2023 07.00.00,08/02/2023 08.00.00,"7,62","1463,3",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-2350,91"
08/02/2023 08.00.00,08/02/2023 09.00.00,"7,55","1608,78",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-2743,706"
08/02/2023 09.00.00,08/02/2023 10.00.00,"7,6","1309,7",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-1936,19"
08/02/2023 10.00.00,08/02/2023 11.00.00,"7,75","952,51",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-971,777"
08/02/2023 11.00.00,08/02/2023 12.00.00,"7,06","882,93",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-783,911"
08/02/2023 12.00.00,08/02/2023 13.00.00,"6,68","860,31",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-722,837"
08/02/2023 13.00.00,08/02/2023 14.00.00,"6,73","854,88",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-708,176"
08/02/2023 14.00.00,08/02/2023 15.00.00,"6,84","850,12",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-695,324"
08/02/2023 15.00.00,08/02/2023 16.00.00,"7,3","933,09",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-919,343"
08/02/2023 16.00.00,08/02/2023 17.00.00,"7,39","953,26",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-973,802"
08/02/2023 17.00.00,08/02/2023 18.00.00,"7,68","951,1",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-967,97"
08/02/2023 18.00.00,08/02/2023 19.00.00,"7,38","765,21",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-466,067"
08/02/2023 19.00.00,08/02/2023 20.00.00,"7,4","716,47",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-334,469"
08/02/2023 20.00.00,08/02/2023 21.00.00,"7,56","696,3",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-280,01"
08/02/2023 21.00.00,08/02/2023 22.00.00,"7,69","665,34",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-196,418"
08/02/2023 22.00.00,08/02/2023 23.00.00,"7,66","663,56",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-191,612"
08/02/2023 23.00.00,09/02/2023 00.00.00,"7,54","636,77",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-119,279"
09/02/2023 00.00.00,09/02/2023 01.00.00,"7,58","615,31",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"-61,337"
09/02/2023 01.00.00,09/02/2023 02.00.00,"7,68","588,89",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"9,997"
09/02/2023 02.00.00,09/02/2023 03.00.00,"7,71","577,88",System.Collections.Generic.List`1[Heatington.Models.ProductionUnit],"39,724"
