StartTime,EndTime,HeatDemand,ElectricityPrice,Boilers,NetProductionCost
08/02/2023 00.00.00,08/02/2023 01.00.00,"6,62","1190,94","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-1615,538"
08/02/2023 00.00.00,08/02/2023 01.00.00,"6,62","1190,94","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,604, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-1615,538"
08/02/2023 01.00.00,08/02/2023 02.00.00,"6,85","1154,55","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-1517,285"
08/02/2023 01.00.00,08/02/2023 02.00.00,"6,85","1154,55","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,65, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-1517,285"
08/02/2023 02.00.00,08/02/2023 03.00.00,"6,98","1116,22","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-1413,794"
08/02/2023 02.00.00,08/02/2023 03.00.00,"6,98","1116,22","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,676, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-1413,794"
08/02/2023 03.00.00,08/02/2023 04.00.00,"7,04","1101,12","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-1373,024"
08/02/2023 03.00.00,08/02/2023 04.00.00,"7,04","1101,12","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,688, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-1373,024"
08/02/2023 04.00.00,08/02/2023 05.00.00,"7,72","1086,24","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-1332,848"
08/02/2023 04.00.00,08/02/2023 05.00.00,"7,72","1086,24","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,824, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-1332,848"
08/02/2023 05.00.00,08/02/2023 06.00.00,"7,85","1109,53","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-1395,731"
08/02/2023 05.00.00,08/02/2023 06.00.00,"7,85","1109,53","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,85, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-1395,731"
08/02/2023 06.00.00,08/02/2023 07.00.00,"8,15","1307,4","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-1929,98"
08/02/2023 06.00.00,08/02/2023 07.00.00,"8,15","1307,4","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,91, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-1929,98"
08/02/2023 07.00.00,08/02/2023 08.00.00,"7,62","1463,3","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-2350,91"
08/02/2023 07.00.00,08/02/2023 08.00.00,"7,62","1463,3","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,804, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-2350,91"
08/02/2023 08.00.00,08/02/2023 09.00.00,"7,55","1608,78","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-2743,706"
08/02/2023 08.00.00,08/02/2023 09.00.00,"7,55","1608,78","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,79, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-2743,706"
08/02/2023 09.00.00,08/02/2023 10.00.00,"7,6","1309,7","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-1936,19"
08/02/2023 09.00.00,08/02/2023 10.00.00,"7,6","1309,7","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,8, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-1936,19"
08/02/2023 10.00.00,08/02/2023 11.00.00,"7,75","952,51","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-971,777"
08/02/2023 10.00.00,08/02/2023 11.00.00,"7,75","952,51","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,83, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-971,777"
08/02/2023 11.00.00,08/02/2023 12.00.00,"7,06","882,93","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-783,911"
08/02/2023 11.00.00,08/02/2023 12.00.00,"7,06","882,93","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,692, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-783,911"
08/02/2023 12.00.00,08/02/2023 13.00.00,"6,68","860,31","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-722,837"
08/02/2023 12.00.00,08/02/2023 13.00.00,"6,68","860,31","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,616, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-722,837"
08/02/2023 13.00.00,08/02/2023 14.00.00,"6,73","854,88","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-708,176"
08/02/2023 13.00.00,08/02/2023 14.00.00,"6,73","854,88","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,626, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-708,176"
08/02/2023 14.00.00,08/02/2023 15.00.00,"6,84","850,12","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-695,324"
08/02/2023 14.00.00,08/02/2023 15.00.00,"6,84","850,12","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,648, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-695,324"
08/02/2023 15.00.00,08/02/2023 16.00.00,"7,3","933,09","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-919,343"
08/02/2023 15.00.00,08/02/2023 16.00.00,"7,3","933,09","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,74, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-919,343"
08/02/2023 16.00.00,08/02/2023 17.00.00,"7,39","953,26","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-973,802"
08/02/2023 16.00.00,08/02/2023 17.00.00,"7,39","953,26","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,758, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-973,802"
08/02/2023 17.00.00,08/02/2023 18.00.00,"7,68","951,1","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-967,97"
08/02/2023 17.00.00,08/02/2023 18.00.00,"7,68","951,1","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,816, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-967,97"
08/02/2023 18.00.00,08/02/2023 19.00.00,"7,38","765,21","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-466,067"
08/02/2023 18.00.00,08/02/2023 19.00.00,"7,38","765,21","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,756, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-466,067"
08/02/2023 19.00.00,08/02/2023 20.00.00,"7,4","716,47","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-334,469"
08/02/2023 19.00.00,08/02/2023 20.00.00,"7,4","716,47","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,76, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-334,469"
08/02/2023 20.00.00,08/02/2023 21.00.00,"7,56","696,3","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-280,01"
08/02/2023 20.00.00,08/02/2023 21.00.00,"7,56","696,3","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,792, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-280,01"
08/02/2023 21.00.00,08/02/2023 22.00.00,"7,69","665,34","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-196,418"
08/02/2023 21.00.00,08/02/2023 22.00.00,"7,69","665,34","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,818, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-196,418"
08/02/2023 22.00.00,08/02/2023 23.00.00,"7,66","663,56","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-191,612"
08/02/2023 22.00.00,08/02/2023 23.00.00,"7,66","663,56","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,812, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-191,612"
08/02/2023 23.00.00,09/02/2023 00.00.00,"7,54","636,77","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-119,279"
08/02/2023 23.00.00,09/02/2023 00.00.00,"7,54","636,77","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,788, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-119,279"
09/02/2023 00.00.00,09/02/2023 01.00.00,"7,58","615,31","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-61,337"
09/02/2023 00.00.00,09/02/2023 01.00.00,"7,58","615,31","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,796, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-61,337"
09/02/2023 01.00.00,09/02/2023 02.00.00,"7,68","588,89","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","9,997"
